epizod,wynik,kroki,epsilon,rozmiar_pamięci,średnia_strata
1035,20,160,0.010000,20000,11.384734
1036,11,90,0.010000,20000,12.526167
1037,12,101,0.010000,20000,9.680557
1038,3,17,0.010000,20000,15.738101
1039,15,100,0.010000,20000,12.295338
1040,18,150,0.010000,20000,11.638602
1041,29,190,0.010000,20000,12.135927
1042,28,243,0.010000,20000,12.086639
1043,21,152,0.010000,20000,14.321328
1044,10,79,0.010000,20000,11.074011
1045,18,122,0.010000,20000,13.404213
1046,21,168,0.010000,20000,11.907645
1047,7,56,0.010000,20000,9.482285
1048,15,123,0.010000,20000,12.115365
1049,38,349,0.010000,20000,11.401549
1050,17,158,0.010000,20000,10.458558
1051,12,77,0.010000,20000,11.059876
1052,19,136,0.010000,20000,9.928007
1053,12,93,0.010000,20000,12.956279
1054,16,158,0.010000,20000,10.216744
1055,18,146,0.010000,20000,12.043928
1056,7,55,0.010000,20000,9.681522
1057,8,60,0.010000,20000,10.482059
1058,11,84,0.010000,20000,10.664811
1059,32,377,0.010000,20000,11.479388
1060,1,9,0.010000,20000,22.729773
1061,19,155,0.010000,20000,12.429461
1062,7,56,0.010000,20000,10.048989
1063,24,211,0.010000,20000,10.802818
1064,12,92,0.010000,20000,12.429229
1065,3,22,0.010000,20000,16.979447
1066,7,66,0.010000,20000,11.152739
1067,26,211,0.010000,20000,11.863462
1068,24,214,0.010000,20000,11.717918
1069,9,72,0.010000,20000,9.981859
1070,16,108,0.010000,20000,10.948595
1071,12,89,0.010000,20000,10.354516
1072,19,175,0.010000,20000,11.035855
1073,18,152,0.010000,20000,10.884859
1074,16,126,0.010000,20000,11.605726
1075,16,122,0.010000,20000,11.679894
1076,20,173,0.010000,20000,10.954160
1077,16,122,0.010000,20000,11.168769
1078,12,82,0.010000,20000,14.535999
1079,18,153,0.010000,20000,13.349100
1080,21,198,0.010000,20000,11.758831
1081,13,83,0.010000,20000,12.852653
1082,27,214,0.010000,20000,12.091886
1083,21,158,0.010000,20000,12.540359
1084,20,162,0.010000,20000,11.646196
1085,16,126,0.010000,20000,10.894361
1086,26,244,0.010000,20000,11.764748
1087,12,90,0.010000,20000,12.541090
1088,24,205,0.010000,20000,11.866570
1089,33,316,0.010000,20000,12.542863
1090,5,40,0.010000,20000,10.309940
1091,21,160,0.010000,20000,13.851311
1092,16,177,0.010000,20000,13.780007
1093,2,11,0.010000,20000,10.285376
1094,19,154,0.010000,20000,11.261911
1095,25,168,0.010000,20000,13.796982
1096,1,16,0.010000,20000,8.904653
1097,7,51,0.010000,20000,10.435832
1098,20,152,0.010000,20000,12.438930
1099,19,130,0.010000,20000,12.969891
1100,8,65,0.010000,20000,13.570835
1101,21,200,0.010000,20000,13.738466
1102,19,163,0.010000,20000,11.909340
1103,17,171,0.010000,20000,12.401780
1104,20,158,0.010000,20000,12.022676
1105,11,73,0.010000,20000,8.544789
1106,13,66,0.010000,20000,12.368379
1107,11,92,0.010000,20000,9.363030
1108,20,188,0.010000,20000,11.520121
1109,16,136,0.010000,20000,13.960546
1110,4,23,0.010000,20000,8.921010
1111,8,54,0.010000,20000,10.587747
1112,20,113,0.010000,20000,11.810167
1113,21,195,0.010000,20000,11.438662
1114,26,215,0.010000,20000,10.765603
1115,23,167,0.010000,20000,12.673674
1116,18,157,0.010000,20000,10.900566
1117,9,75,0.010000,20000,8.718165
1118,14,94,0.010000,20000,10.100712
1119,17,141,0.010000,20000,11.408178
1120,12,94,0.010000,20000,12.782552
1121,27,227,0.010000,20000,11.916535
1122,18,141,0.010000,20000,13.055199
1123,13,113,0.010000,20000,11.206707
1124,6,57,0.010000,20000,14.974589
1125,24,188,0.010000,20000,10.724592
1126,23,197,0.010000,20000,11.219664
1127,11,78,0.010000,20000,10.980500
1128,14,95,0.010000,20000,12.985579
1129,22,167,0.010000,20000,11.936046
1130,23,166,0.010000,20000,12.975355
1131,3,32,0.010000,20000,10.064923
1132,15,126,0.010000,20000,13.166394
1133,17,145,0.010000,20000,12.175543
1134,3,43,0.010000,20000,14.119469
1135,24,182,0.010000,20000,12.310163
1136,14,106,0.010000,20000,9.100983
1137,16,101,0.010000,20000,9.671416
1138,9,67,0.010000,20000,13.091085
1139,0,8,0.010000,20000,28.259836
1140,11,72,0.010000,20000,11.939867
1141,9,64,0.010000,20000,9.564189
1142,24,192,0.010000,20000,11.743483
1143,15,109,0.010000,20000,12.419282
1144,21,159,0.010000,20000,11.044591
1145,18,162,0.010000,20000,11.867767
1146,17,123,0.010000,20000,10.776428
1147,17,141,0.010000,20000,10.626628
1148,23,185,0.010000,20000,12.231423
1149,17,161,0.010000,20000,10.388749
1150,11,79,0.010000,20000,9.419637
1151,6,42,0.010000,20000,11.744031
1152,17,157,0.010000,20000,11.274298
1153,16,133,0.010000,20000,11.545056
1154,24,200,0.010000,20000,9.803293
1155,3,23,0.010000,20000,12.188028
1156,25,180,0.010000,20000,9.999437
1157,17,138,0.010000,20000,11.067511
1158,19,178,0.010000,20000,11.584321
1159,20,150,0.010000,20000,12.507943
1160,15,131,0.010000,20000,13.544310
1161,17,111,0.010000,20000,15.199997
1162,18,146,0.010000,20000,9.911085
1163,7,62,0.010000,20000,13.257229
1164,22,137,0.010000,20000,11.209521
1165,33,241,0.010000,20000,13.395830
1166,30,239,0.010000,20000,12.653548
1167,12,99,0.010000,20000,11.388568
1168,20,203,0.010000,20000,12.924838
1169,24,177,0.010000,20000,10.918841
1170,21,201,0.010000,20000,11.700606
1171,26,201,0.010000,20000,11.044614
1172,14,97,0.010000,20000,10.671841
1173,19,177,0.010000,20000,12.590705
1174,9,64,0.010000,20000,11.576892
1175,11,79,0.010000,20000,10.991627
1176,18,147,0.010000,20000,11.316931
1177,9,98,0.010000,20000,10.759312
1178,9,60,0.010000,20000,12.738181
1179,21,240,0.010000,20000,12.876718
1180,13,97,0.010000,20000,12.585732
1181,25,234,0.010000,20000,10.234923
1182,13,89,0.010000,20000,10.081659
1183,20,182,0.010000,20000,11.613609
1184,14,123,0.010000,20000,9.877375
1185,25,223,0.010000,20000,10.888294
1186,25,212,0.010000,20000,10.265097
1187,21,177,0.010000,20000,12.062885
